Num States Expanded 
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2           5.97            2.0            2.0           9.34            4.0            4.0
 4          23.41            4.0           4.16          43.25            8.0           8.03
 6          75.14           6.74           7.74         174.24           12.4           14.7
 8         221.93          11.03          16.21         531.71          18.56          26.84
10         593.18          17.25          39.04        1695.88           26.7          70.25
12        1576.83          31.86          91.56        5023.06          47.26          174.5
Num States Generated 
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2          18.12            7.1           6.98          28.45           13.0           13.0
 4           65.5          12.74          13.24          121.1          21.66          22.29
 6         206.64          20.41          23.35         477.86          35.93           42.1
 8         605.74          32.61          47.04        1453.96          50.61          73.36
10        1605.26          49.24         109.42        4630.85          73.83         193.85
12         4290.6          88.53         252.39       13716.33         126.54         478.38
Max States in Memory 
 L            UCS            A*1            A*2             ID          IDA*1          IDA*2
 2          13.15            6.1           5.98            3.0            3.0            3.0
 4          43.09           9.74          10.08            5.0            5.0            5.0
 6         129.71          14.65          16.61            7.0            7.0            7.0
 8         367.25          22.42           31.7            9.0            9.0            9.0
10         955.28          32.86          70.66           11.0           11.0           11.0
12         2542.1          57.06         157.93           13.0           13.0           13.0
